ФИО,звание,номер роты,возраст
efuegtoqnjjldokhl,pzzqgxipdo,19,29
gtjyiblptahqxlyyoj,qahpjjiofpewe,8,42
ohrjrxlugdujoi,ndlyytkcfptpfo,6,29
welwldbtewcxvnub,eqwrumnymbpyghh,13,63
bxejeeuctzg,dolylfwtmvpokwvz,8,64
kcsgmdpxshqvpejwgfxhyh,zownuuzmzuzhe,8,39
dfihgutphbmtp,ldmpeltdea,14,56
chkbebpidkyfoyz,auwjpkxzuginmr,3,35
tknjdmycpnloivvfcosxa,toriuerywsyfo,16,49
cnfyptyknjqconbth,kzfqytneybxvc,8,34
wwejnnkxzn,jrmnlmyzew,20,56
krrhbnoshfbby,tgiberhmglatfxqx,12,34
gwtqoqwmep,vmsctwhyoandhpxm,16,26
jtsdtnbmhiqvu,csrfehvgvtobz,18,32
uquakrcjmsza,kmijcofhzenut,7,45
bmkwswffolzqpmxcp,ypofltygopru,7,20
uyyqjrkbqfm,btpwiylcrcynp,18,41
qzeokepjjixtsryclh,hzvvusrthwnjlgoq,19,65
qxnkqgftjgxae,qaoikjgg,3,21
xmjeqhgeiha,sfsrbmnxovponv,9,38
edndsuiwceafolstfsfthiy,qvdvuladkwukp,17,46
cqhzbtqqecpxazpbsgafdz,sjrlpbfihojxzp,13,36
qjjnipfenroccegsqr,ssynsukwvjmwok,9,24
zjitaaeaulhv,exdtuaubdv,2,63
hmevysfunekqcv,jkahxbsbzcyo,9,23
riwtboflxxsswqzf,xxlfbothvm,15,52
tgutnfgmrvbdljjzciss,sqeycbuj,9,36
hzpautmmwasroxqnlky,wpqkumddgmd,2,61
ucanjildxvfdbeoajxk,gorokujzp,10,20
fukoiojaqpekznmycqthunygh,khbpqsakolkscmk,12,46
hkdiqnnxswxiq,qlhhmaxmyjjinc,14,41
vnnhyuiueqfzy,vasgljvhs,17,59
cokcrqgkwpzfujdwx,wmwxjcvl,8,21
faktbxzphsyvu,fqjnuhxeti,18,55
fwejbivantko,knpvfgfdreso,12,53
uedvjpvobopciimzs,jjkfztieh,6,26
