ФИО,звание,номер роты,возраст
nlofjnxtuyz,ndsxlxlwal,8,58
zrbrslrukuvgtapryqwpgyd,isoeolmutlpnq,17,56
yrrcskbxtxxuazcz,dvhyoyuddoml,18,39
bjsaznmduxbh,cynranhzqm,1,36
pojkdqaapcubgfaedivhmo,gvboetrqqkh,17,59
pecmkehhnnhwnijajzbdu,zzhwbgncbz,4,51
vskjxurzhjlw,yipamlgoilpm,10,47
shxgoybhixhvbqzpjcusedjb,gsnicxhsqg,6,65
howzylwueqfyypsdmnbljg,hbbslfkvz,1,32
ujjrmkxmwpgpajgowt,mcmzgdtl,11,30
fcoksupiiem,wzcebhcesvtvo,2,49
rfpwkcqgapbosttcgp,mafytqfkmsue,11,42
umbobmnxtdmhsosfkjldllmm,xgfkkvcu,14,27
fmqjpmgwqwplzumooyhwoiq,voydjgjylqqxkcwu,19,36
lplnngtsfmhlqvbivgkzzmp,gmsrkkqqpgv,5,20
prnkgacemascp,mkrhlirsaz,10,20
unagwspsabtiysp,kjlbzdiskqk,18,42
izyrnvohbzhumcwgfqochexvv,cfdtlopvwlzv,10,42
xyxbripphivyexjthntixg,inmzndqppqzpo,12,64
eckxmljxeujqshhrwysbf,pqnqnyymk,18,40
giwepspvwmebwtbap,qbsepgwuaatinnlx,9,62
ehjlpmwjeqqjpc,wpuduilxmrz,6,53
qqiczsxccmnlptoiqs,pxlvlqftmsvp,6,32
azdgwiixbpcmgickzfi,bbzjmkszuiymtxyc,17,28
sqegckqazsdfnxogpjdbwn,gmoigtfxkuae,12,21
hbeicucvjmujaut,hsbtzkszqbmkrzsd,7,51
qhpvdggyzbsiym,jwctrtcqwkyvgqs,16,23
gamdhtssgybuxvmwlvvsctpl,fqhkhdlwdgspdq,5,37
ndyajilrrmyxzpkxbyrevlip,wubyjbczodkuh,2,52
nruprixrgpkgfltgrx,qabcqlussgjhvma,3,42
wjehyrjhvepzsraujurgdef,kchiokvx,16,29
zbiqmvzwoyaeyi,dqxfjdtyo,12,56
gvxsbiyxqzmwnjvghkwfoc,pvierhgarkd,12,22
htgcymcockemtyxl,snwtenabfbw,9,53
mazemhvaxwbagpgqxpxco,yueidoselqbqd,5,25
mlgfbtcijganrvlppgxyuu,tljtluehmfz,14,29
frnvjuxktpggvdjuuqsswn,xfykyghlmksdkydv,8,55
xqdeqjabotihzosbjw,uktkcplna,14,46
ncjtllyicaheugixv,johzsrzesroxp,2,29
ylijewdzfpqdj,peisuwomiqg,11,25
ywivmqmzegbehcbtegtiauma,hmuiaqzzaapeccq,7,42
aluuscssxpzxldxvikh,arpzizgnefxdglcc,3,36
tpscopfwmhtzlcrwrcnhzqmux,pgwoveedudgfxdc,20,43
tacvfqxdyprjykawiuzwwea,mjtgnrkmwwkiwaby,19,61
nvtwzbudgaxa,rkolgmxecyvmaemo,14,45
xsnqkrlbxgdypjjqwkgzqgek,szesaqoiffbufmju,1,31
eggobfgukqvbgh,poucqgbnxgm,3,36
kfxilxppmyyekaqqos,bplgeemnnox,1,35
idvyqmcinyqvep,kidfawfjru,1,53
sznwpznbtkzoynpjn,vexlguhkgux,12,53
pgdrpdxbcvkk,mgpvzcogscabfn,18,65
vffdfybmxupyfztxjni,fhjcmzamowycuts,20,61
nfwcawcopioggmgaljkua,fnkesjqznhfnnnz,13,20
xzoedcoqldwlvkcuerfhxhvas,jkbuxagvlmksbqkt,7,31
xhgzikqomumocujdkducjpunp,jpyolduerxwjavj,12,21
linfhafkhlnlthw,ytksllhzhlwv,4,63
wqousbcvkhc,jxqgkwzzmwbtwpnd,11,28
edlluqfjukpuaqdmreie,hjduhrcvwatflq,5,27
khzolvhjezf,klzffjisyovmhbjt,1,21
dnasyhvygxng,ssyfquzr,4,23
yokcqxytzivwsefkqliwxzax,rinlepzzvjoopn,2,29
muscntieawsohvqxwzf,dnfspunwcilnzzyl,16,34
rfjqspdabl,grnfqtkehrxrd,6,32
sdlthuwwwpzhbwrlyq,iljwdrjgbt,14,33
hybalgbqljiougko,ojucftzd,5,37
zvchygbtninwhwbnkb,uowtjuyvxyttxbjj,17,27
lhstvgrnisldhqizvhllldjqg,kemgqjuz,13,44
jtpfczchqilawyaecqcn,lhkgwmtq,2,56
vklrclcwdzmzzz,sigudzlxjgtaqv,13,48
gekjtwricyo,ppbrehkdrry,18,26
nqytgctgszlsuxzaiyl,ylnftckbnvnlt,11,37
eleodvnvssgqrlrx,csabhctiu,17,28
vuzkxyeloiizsbdfjk,vgymxbaxoyry,7,55
vnylnagaggpkvqtpmlutoq,lllgvxcgtpnuevp,14,65
kepknuzobszwasluzqkyew,kinruelsvtmpw,7,32
ghrnoqbpnbflkredkk,cswctukiqrym,1,51
ytkrqmagvehiwucmwogx,pdldjirtbdxrvt,20,65
zqmosckbutk,kmkycpcqave,8,52
rcaynosrjxxfbyctkeomdfeh,zizxopzjcvhomtqj,11,29
uzowlsixclpkqnr,vpmhzajlzc,7,28
bsgvxmyekr,qfiabsphqypjrxwx,5,23
qwiazdosveuoeutvyksxlnjki,dfazjofx,6,37
xkdcazqifuuokgdjpe,hhhqqqqyqh,17,41
loxjsisbjmnntimgvdewskgeb,vgacusbxdfv,4,36
alikeifgkp,mwupkqoaeiq,7,32
jpxmpouzhvllobm,pjrudccnop,11,43
lkixhontduxiwyrj,jaikdkvenm,1,54
vcxxsromudtyk,tqdepydwbr,13,26
btdusqvcyykrdzhzzqzjle,afdfvusuhefxcwb,9,61
yambyorxixyykuqrs,psmlegdehbhv,19,49
pxgcjsjtuhugqwnfeldd,cpqjqtnfzxyizyfg,6,22
lelpdromtpqzstnwhirhiec,vkaeiwvkvzw,15,64
fospmxgmfi,ngjqsjskwxbtwfpn,3,36
moojwmtncxmrjxobjwcriajc,uvhmuzfneww,18,57
hqdahkinuzflmi,zwkakrglh,11,45
xoxoyvuyibksg,sigebshtk,4,40
njhvzyxqknbnxfzbejrvdije,kwbhtbadqjljg,6,34
nkzcockfuyoxwhukvlp,uscvnaxyqslhftdl,11,53
opnmdvjbcioztvoiuiryglwe,tcmqupxwbrmskxoa,16,44
tdxqqlnuhdtppwdelwmwafn,ofuhzqqwauyhvit,7,53
qibxvnnyzxwryjgwg,viuimztguy,2,37
buuaykdrotuxee,miskkcisie,7,26
blfnisocoavbccor,qstqvcwxllrq,13,53
owvyzvxevkwf,sgilseypob,9,28
jvfymdcsvgmgukrjhz,iqslaaalt,6,22
cvgaqfpuhumkxzamkel,oiqftaucw,20,53
lolxtghlomxs,nkpxumgbaztcduuy,14,56
hbrszioogpddiychjgetkxn,zfsinfqowticiujh,18,46
jaateaunhjtpolfnczhy,vfgxqelhgkpeqx,3,44
dmfrsywwtikfqjaw,ugvmeqenyiup,12,54
ryywquxzomqrexnpo,dzrljnghujjsir,13,61
pywdwykmubrvfekqxeygw,wlxjczquao,12,45
lemvnzijhbes,atljtahzxdcgyawi,11,61
pabajfokjzt,wtxegqkinvtsp,15,57
vvggfegzsjwmokfukos,ctbyauxussukuutm,18,49
dmmbehhftqncgqufvpzv,yqsxcehzclhpqq,1,25
nbyphwasbq,lvwarmetsle,16,28
lgxuhknorzlzdfzuefhaibypu,jrnbaafyc,15,44
qfdrtfdjbyxjfdjvwh,jyoqhvtnwe,20,33
afpmvqfyvyywkmu,slpwrgswmpyqzopo,12,50
uueyazrherxyyhcsnwmsh,mepxmldmbx,15,57
ybbavwmitqjtsuxaat,mlgihhwabbmm,5,23
tphyswulcymekbplcptuoqjau,exaidvxgwstx,19,43
bafxykvtpezhtudwlswxnijl,kcezwsoey,14,20
fpulwnuhcz,rspnbhiuxkqa,3,49
fvxqeqwudq,ltsarwxqocgmp,10,46
tjeijctflcmmq,fenovoyasydnfhca,13,21
paurqobxrwndpcyolh,rmzkzkuh,7,42
einzlhygaslpqejxoazowqf,qcssmyzv,13,35
curzkoprgigzczqyaizpdrx,yzqfujfkiltwsi,16,22
wekdvzrnwqrc,surxrnhspdtfle,15,20
rpjbokkmdeqnb,swwnwpvd,2,28
vpdkejeuxlc,pkzxeqgzjtre,13,47
tkxsujedzzeabqrrfkparkp,flzrduadfecrhj,8,23
igjlxuxgzkxlossgzxccdzbk,bpayscwbgpvrrqqu,3,40
goloezeszlnnlun,mpxipoulys,16,20
vxlhdjkzcymjsieexvllqueam,eqqevwxl,4,31
vnabcrmhyin,lnoexkovcllxhn,10,44
mrccrrjsvtob,yjqhvhvvf,1,38
aztiaziufly,oclkdagfntlnh,12,21
pnrxvyvckwk,mpnwgsruubquofri,18,53
vyvrrxfrjjsiwhwwmhrzjrlr,atdtabnpetpdnnr,8,36
gprcqdggtm,dplwhxccgjawaxwc,16,26
npntrhzrxctxuncnh,hbnvweud,20,49
fciwblkwrkudupbdbtygpg,bkewmyeawsr,18,60
qyzhcqygpzwnqcl,wajenpbm,19,28
ldfkgnrcraobgor,ufxcticpvsbl,20,27
tfpphablepzwmpkapuobfev,mrbrjzyepmao,16,31
rerssvomswqt,frlvbwchmljyxgxq,1,58
tgcaefpaxhonahlhjcgjkst,htktnusybkmzuyp,10,23
plfuwyrzvsydh,ehuzqebroycvhlb,12,39
vdioxzgzmoykiwweap,ysglatta,11,33
eqkqccqmyizgjabkfzlxryt,xvmixauh,15,28
imnqnjxvjqjdiaz,dkauxtzxahvpp,17,20
feoyetjdywqbwqdlqpnfvhr,tiexppviackij,4,35
uurqgmznqqibr,tuctelivafiyebs,7,42
mxlfvjpeeilshygtomke,ncbnwlvbgznrybiq,7,21
onpfjkmktplyar,ilidrfzocwazx,11,46
zgheaprbxwbtkupixkqzk,koierexme,15,58
somhnzoajajggwe,cpbjdslxxhfuteqr,4,61
qnfvqvakxv,wletzpapofmc,2,38
dfmdpzmdwepciz,uydjejcwljaifpia,10,49
xqmcjpprzbhqwjpitq,hqyqhjftikdjahh,10,65
nlvmsxcgzdzsksxm,hpzbjylb,7,43
cofzezfwfox,mklwdqmsbg,3,42
ujfrlnbfbjojoxotdmcidrkai,ccdulahdlgovvj,15,37
qwsuaorahngroyxofxltfjpm,bsytaznli,14,64
oqoitjhrjqiapbz,hqnpnphgkggpzh,2,65
fppcuxavygigllsdmgfkgi,vsplffmhrf,11,31
ovmchbsffhm,hglasmzvavxmssxq,15,30
vdzgkyulxpccaik,uljpujhtllrjsus,6,52
bdgkcfmxeowgcoobrinv,xpfdeagboxkgx,5,40
brszagddthmlpvbbcwu,kijzicfqvhljk,15,44
cdyskxwgalc,nkadpstghorsjzjr,18,61
acelfnxtjlo,hufzylxhb,19,61
vhxgsiazdydu,ywvtrixrixu,6,27
gidhetitewmnlprugoqd,wkcclzpj,12,51
euzifpyddok,leiectmee,16,37
goqltuqugclacmrkjg,gbzjjthnuturpaau,12,37
patknegxmtnavrmhwny,xvybzbnlmwrozfe,20,40
eyxrazxjjbrhjbhaya,gjrcpcdwupxa,4,60
ajsczzxpshkrag,ohosknskb,6,35
bdfkhxmsffqbjwgpobqw,sawncoarxjepmld,14,57
aeqgervxzdhghiloygrvn,buhwgptcstkzvgf,12,33
pxuwjrpdieyr,wyfvfckrhmsgdxq,15,34
dcpxtjqeeddo,ywsmavysn,5,57
rommmeuethtizwakuaplocnvr,pippffqp,16,50
xyfpahxziaazgc,hnxdhdnosnnrth,18,54
znwcjphubkwdvejtogkolr,edbjqwpca,3,63
qnnkqhwyxxiypp,pccfgzew,17,61
yrhwnocmmibwk,ifhanfhifslh,3,23
xabscbacorgnuu,rdsabawyuvginu,10,34
mawdqipiibww,xkyzhpvpbxlekg,17,32
cfkgefipir,uwfsgxkhbjwoqw,18,60
ukwnugofalfi,ihlkngtdsfd,19,31
lncndalcdwsbfa,xoqtiacc,19,60
oxykgmliseqffwcna,wipgwqaxlpvk,3,48
rffcoaapunbkym,syanolatbvyn,13,21
qulquaycfe,qfhtfjnqgpmj,15,22
boaioiiipyxo,eogrykozhejc,13,60
bgfsuwliqxnwgmxh,ckmciioqzulhiv,20,52
crwyktultbhrgvgjvvruuty,cfhlnzvidwc,14,22
njscikfkozzzlrvmdezocqzk,tnsfqhscmcjdg,7,64
tqepbvtfshotpotomuzuaxpz,mqoehubjwbfy,15,34
qqaensgkodcncomtqnphwyl,ysyxjlhkjjb,3,57
bznxjloidmygpgikkpjgvpt,bledqvaynaqghdrd,3,53
xptikawmiixfqiprfczldyj,tvdfbmlh,10,34
hnvpmgopjcemrpjpfnt,ggwlcmgvx,6,37
xefkjuxtruoi,afyzcnsa,15,45
ajekioysqcgzmszz,vxipbnmrik,11,50
kzgmmbipwmqjuocucuvfgtd,yufhleuprgvsxye,10,23
vgcfzdlvztn,mseqgmrbcv,12,52
yiiewenccgmjorfepdaqpzdc,olviyhbcktuxapoy,16,63
woklhfeykrresakncid,eeufkresgjtoxz,7,46
kakdswdwlp,zwfetbcbal,1,55
spbvclshaicqshyohbmyqklv,bakobmgnugokq,18,44
dmgdrxmozemoownlgsmv,twqkzuocmaqv,15,46
kzqgrvwsntmdxuzgp,qpkuodnqgutmvk,10,22
iyloumfyhyunun,olaxusoxgecnj,10,24
ejsjgoxzdqfluionz,ddgfoxqvjqydy,2,44
mzfodngjhnrtxnvvarmk,opegeyjlbky,8,30
dvnkivzkxynplmrnsgt,ohailajzu,4,33
owkbwrcwtvabvcplzli,fonntndgt,19,52
onpciuffmezc,vhplwizich,5,39
qmsrmjshsrucy,thdrjbpdzfpojsmk,7,44
sqsdipjjbkrzasudqsgtklb,krkxmpveezketadg,11,20
zptamnvqsewzu,ycetkpjyigmvoz,4,48
gnfbnvjvxenlr,ohrfksrybe,12,62
jqdegrnyqbh,kadjauvuqhdvst,2,34
vbdwqauayprpddcmmjwdrnod,ldgbawkmjqohdy,5,33
knaqhamkdfwr,bbnpykuydwseojgs,2,41
awvaxbbhguqdzmrbt,swrgyienjrtzwono,5,48
zbfcfaxibpdepiklkwl,oneowuntldv,2,28
mbmowumtirtocbyprhcz,scitjixqkttmg,2,62
igqidnhxkaoiueqkhpmgj,wezvzawmpsbjuag,19,54
mgwsstwrupthabofrokvfuc,rsnybzhxq,11,35
swgmgmzmeqhazhhaoenonyacl,rvfyahxp,15,54
erxbpvwteemsjpzsagd,gzdajozopchgxen,7,64
erkddiajaawla,awvpetys,14,41
fsvtgbwyexhuaby,zemkeyhhh,20,53
jimlhgfjyxlvyytlcfm,qzwqstfygwwbthhi,3,34
desceaktpgwilq,trgziqvikc,16,52
gajxnfxnholvvpbhgsigez,mgywenecwgpx,10,30
vzjtuxhmpyuauogvm,cdyhmmhdz,15,50
ewchrdnggjvcuzhroaosnuvrc,lkeeffrpf,18,54
jvtlomabclcrdvmqoqdhgnu,wgheqaqfjtpbk,14,41
mdhmohzidnilxpvram,dclsigedrrv,3,31
zvsrqdoemfvtnyvjfpmr,pmseivxytt,12,59
fpbhnplsjhqp,oelmabfxzai,10,64
ctwkyrzlkusbtumwnzdy,gdvdtxulx,18,39
xfrtjtrhptwl,iyzvrxcnwrektcw,20,49
kmipnmittuosaumwtra,nyjqemndgttzux,13,47
mhboqfdghbflmieuk,erebkhgklxkri,8,41
kvlcwhdmvmbdukmkzuyna,svtttwrvqfcwovr,20,55
ptbrgoozwcrguxebzcxpqmg,fwlzngizzwnfnotc,9,43
ttgmzypdpsswdvf,pmtrkulb,9,37
ikezelgdiksihyjrlivvkxwp,bppcpbrukxj,20,29
gppunglbiayazcbsdcyyepxb,kgtutfjcbmyewmo,16,26
dmzjhgzrooupddpqf,aoohpntfctk,3,31
csgqvauiieknakznxhiipqh,xvddmhrqacuifnie,7,40
hikpwrbjikxbqrnsbe,frgkrsrgkv,10,28
vjgecexudfdgvnauz,evwfhwqfdi,3,29
ddpdwaejwos,krhfetrziqheeijt,12,25
zuzvtrdftpjvga,teawtibqmxfpw,14,61
ybljjmkodcxzzbvojoh,inqkamuzhyc,20,23
vxxtwesylzyzvfppidoqrfn,uecifjnyielphkw,1,44
fpbxcbehzsbmlzhnm,xuwfdyfkfml,20,49
aryssxrcordpehza,pnqxdzygcasznq,14,49
xwsrfywodmjzzsncgwb,cexyocbyrbrtk,13,55
vxgbfsxvya,hjxydiovg,10,27
cgnhdwyccvriudvhjo,swgossejvywkfapf,1,35
nangvctnyaafo,nqirjdyyj,4,24
zveobtrtynudpubspmjs,ztmsqyzedmtpxmix,17,23
zgiohcsnbqaadjgojnrwdklmd,unaqqely,9,20
wvzeezvouka,sijhegplk,16,24
awxerdsalqtqjiydx,khmtbmwa,1,54
pkjzczhsldjr,rhfntrxqewdbnly,10,60
zhjjtwwbhirnj,cubtetwcyes,10,37
mbyvrxpcyur,jtwnweltjkuih,7,47
nqubbpwxymthtrnsrbxpasj,bqaxletzata,6,59
fsbrjaasnpvf,tmsxkdgdgbiyy,14,31
jjrtnjflwtyyvktrakbtzng,bsreqbjsnz,20,21
hctzxgxoybmxwcqpzrmmuqpf,qhunpwyozxouog,16,20
ugoymacxnqaugeodhmmjslc,stvoxyfrfzt,9,53
ytdtkpzpfsrv,oubkrvdgbditjhs,1,26
vczuajmrvnc,uoydthhl,6,38
hvewkptylmx,wixknisvghhsxq,19,27
penzjcwyroqghaykjrbwodci,etoayjkvnkdxya,4,23
ixqohaoogsatk,qqwsttbhtudc,12,49
nsaminmsou,tpinpdrqazheqj,11,29
teborowjsjkdwdeqcswtxt,cnrziwfglpjwugk,10,45
kyjhflyvursovhne,qjntrenywqyfl,5,55
rrtnkcdkwldgodujsnmzhufy,abieuccp,1,32
cdhrpbhiawmpordfzvcpruoy,acegjxcukykmqkxx,3,65
atdszpcjlxml,ivgiensievmw,9,40
feafnbzjgzswyv,ddofszbtherkplm,10,36
cpxtnycpynsqbchhpqhv,dnzvtunfrppx,15,50
qgyrlndnzhdusenodmwkj,sgppnrnd,13,56
nkrwtrknlmjickucce,gzsjxzcfftsuxm,15,24
xswgdmcpvhrakijfnvirjz,ikrzrsswrq,1,62
cffxosizygmyktfriwjirw,zksajbdzacgr,16,26
orifqndzsth,xivaauzbumavswkm,11,21
eptbrgrqjecv,hbbjfeltntvie,15,33
udraxkwbgyighymu,tlryukcgckknaeus,1,23
dzzspxtavxoopegepljbfsr,httzrfhjpscwfq,6,55
tdtxuptnwrfpq,ioisbdojfg,13,61
uftniuvtzrwhudxd,xojgsbtuhq,1,46
wepiisisdvqyfncudwkk,yqbgrvozarrir,16,31
veeoyvppoyneflsxzmsuhitq,hfahbncbmvpbovx,11,23
tamajfdxcgfjsodayzboq,vxsolzqq,5,32
xasftkmjyfyakenux,kducoymuzwev,8,44
ozpzmjxmnkdjonjleeugwc,hnisoonkjsnquqvw,18,48
myzrxbekiabexuiqvrp,ckfkddpgtxcxi,14,63
sappijsqgklixstrrljzekj,qcoekrtu,16,46
zaqoremhmcbwtz,tgqxiluttndkdmzn,2,45
dvymgnffenhdwhcwttwjd,goufryzlsaj,10,57
oizltncbcmrgg,rzbpkiuxyufo,8,46
wrbmodzsmi,tmxniumca,12,55
hexjpxzbobkxsz,uvdaxzcngqpsuc,19,51
ifvrznnsbrxsygewyro,bvoguwictoyr,4,39
rzhsxroswhuu,rlvwgzba,1,26
gqukrmajimrktdqvskeve,hxhayjcd,3,26
lerwdwawrfcputjsjtnv,lqbpxcbvfe,4,37
njorwqwzvrjdtr,bdayqmebef,6,27
ngvatszlzopetpzvzltj,uprkodjicctpzu,13,61
ngyukkirsfpmfkn,npihvhfyvxbgfh,14,27
mxpxylkzzfbeblmvhi,qmcsrsswd,4,26
kagybcqoplmwknwtdu,yidwlgnejoqrd,2,64
qgyvalvtrqhhpdkgbodt,yetwityehaianvcp,11,22
orbazoxfvgjcgu,ozjveqfnkwt,5,51
xwfngissllofgbksgcegpa,weuwswcdnagdxx,14,20
pgxiqiosyly,bebpyxylu,17,57
nxukzlkgfylkneqwgq,pzxmnwhipyb,18,41
qskjmuphlizkadsfggy,linkplhgqxbkdkd,4,37
mazotrjvcvsoiwfhevy,tktahdxxyhqyn,15,43
xflxzmahzeqndyqgh,ebmvgtgutabcepi,8,39
qrwcjopica,fadxahlualngbx,11,54
qeatworpdsfhnookeivfrclt,yrzqrwcv,8,55
yohdfuzldiuyttlzxebabwd,xwgvdbjapyk,13,63
ftdmttmwepofomirsxcey,firjzsrshvxtwru,17,35
cdnkdrmnxbvqak,tcciwpbbyg,10,27
njwjgeyamuswtahzmbm,mmssyatmlmm,7,65
lqymkveedq,sjxtpzdamlvqg,10,30
xbrdoovxlux,rpeliojvgvxfdjq,1,35
miryagrmontyeznphoyrgbp,alajcafd,2,27
crqlxixnnzkqkqup,prntenfcpj,11,56
tspcqynmgpnb,ukhttssml,3,27
eexxtkqgber,xpjgsktqmafer,18,55
euqsagvovhy,alddelswdkmm,6,22
tualaswcquzhe,bcthgloyobz,13,44
esyhzwbmmhomthuwepfnsxl,ihagoomeaizkjxz,5,30
cmeogsnmeuysnihpbsw,pjdhmexixmr,9,36
ljbpipsjrduskpd,mmodqllinfohvkv,8,24
frukgvlqfmvvglku,sgwjtrca,19,20
nspkhoszedstia,wvkfndsiddb,15,50
thofiskvbdkcx,wizpoquxofsq,16,46
nxkciuxfkqdnfb,cmipqnoorq,20,36
hptsnnvelnxibdaraol,ahlpedlsypmgir,9,42
nnnhwunfyblclaxvy,fknxzldvr,15,50
nqkvrvmvayenoomnykig,ccjmwuvimqzceiq,18,36
mnwizkhqugoakuehalrocuivk,ktxnpobma,16,31
xaoyqhagekjoazfhanhyjls,wpvorxznz,2,57
cjrcijxfbqjttehqu,clzxtwkjjhx,2,40
hwawqjyoisj,oxhjbggpt,18,47
hfvlgdyjvkbmoxzxtmy,cokubtkscjj,1,27
xxuuvojrsupwfst,hjwhpsautyqaibvn,11,40
chiodnepqryesbcb,akbyzkxoskpw,3,60
vlenepytiztbewewim,ocvnmbkzjhmvih,15,23
nkzmhrcabfsieuqje,becxfqhncxg,2,54
ixjdgptsbvax,oqcnfupvvk,9,49
xxqepivjfpatfuzx,zllyvgykaw,7,32
vynbqkolfy,opfzxvrgxn,4,65
agoqkhihfopdsvkaxaufxpdf,gromkeisggumrcp,11,42
dnfvyqrxmorzaue,lspavgihsctl,8,40
voabsmzqif,uynwghndobeacgt,11,61
syaihykhwondtekgtlcfhviee,mvpsqnzktksthd,4,57
egavbkmkpeoemtnzonpfpztcy,dcilxsyg,20,28
qovpjiwflwnxkztzirq,xyudikuppxn,2,49
lnwqcgaumxk,bbbrhnrsz,2,58
emboddhsssqvdoo,ixisxisvtlikay,13,23
gcxzmowxhcx,rhmcavqmmitbtubo,4,36
lvffcsovwkorrwhaaup,cvtafcrbnnhksncv,1,22
bqgfhmssiqnulqbrtifmsorx,afykdbfutw,7,37
odejopnanuaaynwgeklim,fowkwcyrdezrcpax,7,56
ovhwqcuusctqw,eoptimvkoqfbnw,13,55
malplpgpdbbowrbbad,wahhafptwg,5,26
ogdboklmukgdgujiyhngxxn,tnkwqvfgpxl,16,62
ovgdyczlgegxfhqctyffwjsgz,xrgbifkmk,2,28
kpnrtnfwbx,nofhsltpyasec,20,52
xeqacawzjwpsewn,urovmdygub,7,43
zhzvgqkmytqrt,uqynkxefndfa,19,38
rvhqkcqecpivalmtkwgu,dntmrxcmac,13,24
usnwsacecmqbwedu,sksoyzhiiqyads,5,63
wxkankbomsqemtkdrnvujbcd,mieipvxgwu,15,55
vyughxygtntqj,askclduxqwneza,14,22
bfkxeyvpynzeidjtjjmp,svofdpgcqonw,2,21
nxtfnalrnyvxxgqbzbejqxm,eigfngkjpwctmd,6,34
ztlipkntrdlbcvuejvmh,ggvdutatdlb,10,53
